1,'Overdue','2025-02-05','2025-03-02','Expired','2024-11-12','2025-04-30','Missing',84.7,'High Risk',2,'Escalated','Teresa Benson','868-426-9972x25284','+1-363-545-7828x013','2025-02-16','2025-03-10','Fail','None Required','Under Review','In Process','Hybrid','VS113526','V7868'
2,'Up to Date','2024-12-23','2025-04-09','Expired','2024-10-22','2025-04-24','Missing',73.6,'High Risk',4,'Pending','Louis George','857-274-3420x58308','(736)899-8992','2025-02-06','2025-03-19','Fail','Pending','Under Review','Validated','Manual','VS255467','V7577'
3,'Overdue','2025-01-03','2025-05-09','Valid','2024-10-04','2025-02-21','Complete',37.5,'Low Risk',2,'Escalated','Keith Valdez','+1-519-779-3754x364','260-450-9095x342','2025-02-04','2025-03-14','Pass','Pending','Under Review','Validated','Electronic','VS971688','V2591'
4,'Overdue','2024-11-21','2025-05-07','Due','2024-11-05','2025-02-27','Partial',68.3,'Medium Risk',1,'Pending','Kevin Ortiz','401-279-4488','6124204896','2025-01-27','2025-03-10','Conditional','Completed','Under Review','In Process','Electronic','VS947527','V1690'
5,'Due','2024-11-22','2025-03-31','Due','2025-02-09','2025-03-31','Missing',96.1,'Medium Risk',4,'Pending','Robert Lane','2027176093','980.509.3748x5507','2025-02-03','2025-03-15','Fail','None Required','Planned','Validated','Electronic','VS813069','V1956'
6,'Due','2024-12-18','2025-05-19','Valid','2024-10-02','2025-03-01','Partial',42.7,'High Risk',5,'Resolved','Stephen Anderson','+1-693-864-1135x94754','5907666288','2025-01-21','2025-03-16','Fail','Completed','Under Review','Failed','Hybrid','VS229556','V7087'
7,'Overdue','2025-01-16','2025-04-10','Expired','2024-10-26','2025-02-22','Complete',81.1,'Low Risk',4,'Escalated','Jessica Warren','(393)818-1193x46875','912-228-3464x1158','2025-01-29','2025-03-04','Conditional','Completed','Implemented','In Process','Manual','VS587926','V9539'
8,'Up to Date','2025-01-09','2025-03-29','Due','2025-01-18','2025-06-18','Partial',87.2,'Medium Risk',4,'Pending','Henry Howard','3026469685','747.558.2587','2025-02-04','2025-03-06','Pass','None Required','Implemented','Validated','Manual','VS337175','V1273'
9,'Due','2024-11-28','2025-05-17','Valid','2024-09-10','2025-03-09','Missing',83.3,'High Risk',5,'Pending','Jennifer Webster','2115453536','+1-503-931-0504','2025-01-31','2025-02-26','Conditional','None Required','Implemented','In Process','Electronic','VS194886','V7932'
10,'Due','2024-11-23','2025-05-19','Valid','2024-11-01','2025-04-30','Partial',33.7,'Low Risk',1,'Escalated','Sharon Thomas','001-436-411-4085','+1-555-551-0945x326','2025-02-15','2025-03-11','Pass','None Required','Implemented','Failed','Electronic','VS212183','V5451'
11,'Up to Date','2025-02-19','2025-04-27','Expired','2024-12-30','2025-06-11','Missing',73.0,'Low Risk',2,'Pending','Jessica Williams','+1-240-353-6994x86968','586-507-2764x871','2025-02-05','2025-03-04','Conditional','Pending','Under Review','In Process','Hybrid','VS981788','V8589'
12,'Overdue','2025-01-05','2025-04-14','Due','2024-09-22','2025-05-10','Missing',83.7,'Low Risk',3,'Escalated','Angela Welch','6448628731','338-290-7053','2025-01-26','2025-02-26','Conditional','None Required','Under Review','Validated','Manual','VS672805','V4321'
13,'Due','2024-11-27','2025-02-21','Expired','2025-02-11','2025-05-29','Partial',95.5,'Medium Risk',1,'Escalated','Danielle Frye','(241)608-1765x013','001-431-880-8794x72184','2025-02-15','2025-03-16','Fail','Completed','Under Review','In Process','Hybrid','VS954193','V4156'
14,'Up to Date','2024-12-17','2025-05-03','Due','2024-10-28','2025-05-12','Missing',46.9,'Low Risk',1,'Pending','John Rowland','(233)994-4598x253','5896649160','2025-02-02','2025-03-07','Fail','Pending','Implemented','Validated','Hybrid','VS387292','V6142'
15,'Overdue','2024-12-04','2025-04-11','Valid','2025-01-04','2025-03-11','Missing',42.4,'Low Risk',2,'Resolved','Bridget Williams','001-485-966-4233x412','747-424-4364x866','2025-02-18','2025-03-15','Fail','Completed','Implemented','Validated','Hybrid','VS352879','V8967'
16,'Due','2025-02-17','2025-04-20','Expired','2024-09-30','2025-06-23','Partial',75.2,'Medium Risk',0,'Pending','Matthew Ayers','+1-420-600-2296','748.529.3933x2423','2025-01-22','2025-03-01','Pass','Pending','Under Review','Failed','Hybrid','VS135208','V7953'
17,'Overdue','2024-12-23','2025-04-13','Valid','2025-02-01','2025-04-12','Missing',49.5,'Low Risk',1,'Escalated','Ashley Adams','+1-812-208-9251x772','001-268-333-1155','2025-02-13','2025-02-22','Fail','None Required','Implemented','In Process','Manual','VS895343','V1109'
18,'Due','2024-12-17','2025-04-07','Valid','2024-11-08','2025-03-30','Missing',36.6,'Medium Risk',2,'Pending','Devon Horton','+1-470-579-9855x24078','(907)692-2611','2025-02-02','2025-03-04','Conditional','Completed','Planned','In Process','Electronic','VS923182','V8278'
19,'Due','2024-12-24','2025-05-10','Expired','2024-12-05','2025-03-17','Missing',19.8,'Medium Risk',0,'Escalated','Karen Solomon','(627)790-2390x00020','362-344-6791x364','2025-02-14','2025-03-10','Pass','None Required','Implemented','Failed','Hybrid','VS676546','V9619'
20,'Up to Date','2025-02-02','2025-03-13','Expired','2024-12-12','2025-06-16','Complete',26.7,'High Risk',5,'Pending','Michael Marquez DVM','+1-386-545-3992x4239','+1-302-481-8179x016','2025-02-08','2025-03-12','Pass','Completed','Implemented','Failed','Hybrid','VS415528','V5541'
21,'Up to Date','2025-02-10','2025-05-17','Expired','2024-10-27','2025-05-18','Partial',75.1,'Medium Risk',3,'Pending','Denise Beard','272-217-0078','+1-462-811-1934x60254','2025-02-10','2025-03-04','Pass','Completed','Implemented','Failed','Manual','VS883523','V3844'
22,'Overdue','2025-02-09','2025-02-26','Expired','2025-01-14','2025-05-22','Partial',14.2,'Medium Risk',2,'Resolved','Alexis Kelly','001-302-590-4768x519','495.335.8146x82403','2025-01-30','2025-03-12','Pass','Pending','Planned','In Process','Electronic','VS348489','V2288'
23,'Overdue','2025-02-08','2025-04-12','Expired','2024-11-13','2025-06-19','Partial',48.3,'Low Risk',1,'Pending','Nancy Brock','(372)661-7151','566.545.8883','2025-02-03','2025-03-01','Conditional','Pending','Planned','Validated','Manual','VS332109','V4066'
24,'Up to Date','2024-12-03','2025-02-20','Valid','2024-11-25','2025-05-08','Missing',9.8,'High Risk',1,'Escalated','Dr. Nicole Daniels','001-467-957-4837x642','200.348.0433','2025-02-16','2025-03-14','Conditional','None Required','Planned','Validated','Manual','VS524988','V3393'
25,'Overdue','2024-12-20','2025-05-06','Due','2024-11-17','2025-03-19','Partial',22.0,'High Risk',2,'Escalated','Douglas Blevins','209.603.8330','665-412-6643x97755','2025-02-12','2025-02-21','Conditional','Completed','Under Review','In Process','Electronic','VS155787','V2788'
26,'Up to Date','2024-12-03','2025-02-26','Valid','2024-11-20','2025-06-04','Partial',10.2,'Low Risk',4,'Escalated','James Sherman','001-251-986-4569','001-370-650-7763x73905','2025-02-13','2025-03-12','Conditional','None Required','Implemented','Failed','Hybrid','VS550386','V7260'
27,'Overdue','2024-12-09','2025-03-17','Expired','2024-12-07','2025-04-13','Complete',18.9,'Low Risk',4,'Resolved','Adam Owens','405-727-2154x6854','(513)472-0864x85394','2025-01-24','2025-03-17','Conditional','None Required','Planned','Validated','Manual','VS585762','V8287'
28,'Due','2025-02-14','2025-05-11','Due','2025-01-27','2025-04-19','Complete',77.7,'Low Risk',3,'Resolved','Sheila Rhodes','001-603-840-4135x3067','001-902-673-5738x9239','2025-02-04','2025-02-21','Fail','None Required','Implemented','Validated','Manual','VS931004','V6467'
29,'Overdue','2025-02-03','2025-02-24','Valid','2025-01-25','2025-03-26','Partial',42.9,'Medium Risk',4,'Resolved','Kevin Hall II','+1-416-443-0075x39733','001-984-678-3772x309','2025-02-05','2025-02-26','Fail','Pending','Implemented','Failed','Hybrid','VS458136','V8574'
30,'Up to Date','2025-01-07','2025-04-13','Due','2024-09-25','2025-03-19','Partial',6.2,'High Risk',2,'Pending','Dean Mcknight','001-393-339-2721x1360','001-781-380-6562x85740','2025-02-06','2025-03-08','Conditional','Pending','Implemented','Validated','Electronic','VS407480','V6463'
31,'Overdue','2024-12-21','2025-04-23','Expired','2024-12-16','2025-06-20','Complete',96.9,'High Risk',5,'Resolved','Lisa Robinson','462-478-0661x7004','525-323-7003x787','2025-02-10','2025-03-02','Pass','Completed','Planned','In Process','Electronic','VS243715','V4758'
32,'Overdue','2025-01-08','2025-04-30','Expired','2024-10-24','2025-08-18','Missing',39.2,'Low Risk',4,'Escalated','Derek Pineda','341.675.6708x742','239-766-0588x0551','2025-01-24','2025-03-09','Conditional','Pending','Planned','Validated','Hybrid','VS200439','V5936'
33,'Overdue','2025-01-22','2025-03-07','Expired','2025-01-24','2025-05-27','Missing',0.7,'High Risk',2,'Escalated','Jason Barnes','(545)767-1186x6966','(809)951-5833x840','2025-02-15','2025-03-07','Fail','None Required','Under Review','Validated','Manual','VS643245','V8407'
34,'Up to Date','2025-01-12','2025-04-20','Valid','2025-01-30','2025-04-03','Missing',16.5,'High Risk',5,'Escalated','Sheri Joyce','+1-755-303-5331x15920','+1-767-734-5535x2140','2025-01-28','2025-02-21','Fail','Pending','Implemented','In Process','Electronic','VS677294','V1395'
35,'Due','2024-12-08','2025-04-01','Due','2024-12-25','2025-03-31','Missing',96.9,'Medium Risk',4,'Escalated','David Smith','+1-976-797-0455x6479','(409)648-4004','2025-02-18','2025-03-01','Fail','Pending','Under Review','In Process','Electronic','VS727888','V8888'
36,'Overdue','2025-02-17','2025-04-18','Expired','2024-08-28','2025-03-30','Missing',30.7,'High Risk',2,'Pending','Amanda Harrington','(614)224-7184x142','543.684.1714x42087','2025-02-14','2025-03-12','Pass','Completed','Planned','In Process','Electronic','VS864870','V6577'
37,'Overdue','2024-11-29','2025-05-08','Due','2025-01-12','2025-04-21','Missing',34.9,'Medium Risk',1,'Escalated','Jacob Mitchell','705.907.5433','4292067753','2025-01-23','2025-03-12','Conditional','Pending','Under Review','Failed','Electronic','VS531818','V9516'
38,'Due','2025-02-05','2025-04-16','Expired','2024-12-26','2025-06-18','Missing',52.6,'High Risk',1,'Escalated','John Ramirez','(687)351-0562x78531','732-868-4943x1037','2025-02-16','2025-02-26','Conditional','Pending','Implemented','Failed','Manual','VS952365','V5172'
39,'Up to Date','2025-01-24','2025-04-10','Due','2024-12-21','2025-07-01','Partial',25.2,'High Risk',3,'Escalated','Dylan Davis','+1-866-243-6521x94369','800.232.8162','2025-02-12','2025-03-14','Fail','None Required','Implemented','Validated','Hybrid','VS779966','V8204'
40,'Up to Date','2025-02-13','2025-02-20','Due','2024-12-20','2025-06-12','Missing',92.9,'Medium Risk',3,'Escalated','Philip Gomez','+1-431-699-7205x17356','(274)906-7954','2025-02-03','2025-03-04','Fail','Completed','Under Review','In Process','Manual','VS948409','V3361'
41,'Up to Date','2024-12-02','2025-04-19','Expired','2024-10-09','2025-06-30','Partial',44.6,'Medium Risk',4,'Pending','Angel Stewart','867.709.8479x926','(543)544-5605x3144','2025-01-29','2025-03-03','Fail','None Required','Planned','Failed','Electronic','VS645736','V8724'
42,'Overdue','2024-12-27','2025-03-20','Valid','2024-12-04','2025-08-05','Complete',28.6,'High Risk',3,'Resolved','Larry Smith','+1-392-357-2375x882','(286)822-9349x617','2025-02-15','2025-02-26','Fail','Pending','Planned','Failed','Hybrid','VS283095','V8739'
43,'Overdue','2025-01-08','2025-05-15','Expired','2024-08-31','2025-03-31','Partial',32.4,'Medium Risk',3,'Escalated','Laura Franklin','(365)648-7835x92373','517.490.2269','2025-01-29','2025-02-21','Pass','Completed','Under Review','Validated','Electronic','VS636700','V7922'
44,'Up to Date','2025-01-06','2025-03-06','Valid','2024-12-06','2025-05-11','Partial',7.3,'Medium Risk',3,'Escalated','Mark Richards','432-688-7298','(635)322-5087','2025-02-01','2025-02-24','Pass','Pending','Under Review','Validated','Electronic','VS554000','V7584'
